	Unnamed: 0	start	end	text	speaker	mention	character	round	transaction_unit	tu_relation	da	da_conf
0	0	0.0	4.5	" Hoi, mijn naam is Robin. Hoe heet jij?"	robot			0			statement	3.334437131881710
1	1	4.5	6.5	 Ik heet Wim.	human			0			statement	4.1183762550354
2	2	7.5	11.5	" Oké, leuk dat je meedoet met dit spelletje."	robot			0			comment	1.4517744779586800
3	3	11.5	17.5	 Het gaat over mijn drie vrienden. Ik zal ze aan je voorstellen.	robot			0			statement	4.705556869506840
4	4	19.5	23.5	" Zie je daar de tablet, op die stand daar naast mij?"	robot			0			statement	2.8940651416778600
5	5	23.5	25.5	" Ja, die zie ik."	human			0			statement	2.760075330734250
6	6	25.5	31.0	" Als je op de knop op het scherm drukt, dan zie je mijn vrienden."	robot			0			statement	4.307933330535890
7	7	31.0	37.0	 Kijk goed naar hun gezichten. Die moet je een beetje onthouden.	robot			0			statement	2.959731101989750
8	8	40.0	42.0	 Oké.	human			0			back-channeling	3.114971399307250
9	9	43.0	48.0	 Deze vrienden gaan overal naartoe en maken dan een foto.	robot			0			statement	4.808143138885500
10	10	48.0	52.0	 Soms staan ze ook op foto met anderen.	robot			0			statement	3.1098053455352800
11	11	52.5	56.5	 Wij krijgen allebei deze foto's te zien.	robot			0			statement	3.97830867767334
12	12	56.5	63.5	 Maar op mijn foto staan mijn vrienden op een andere volgorde dan op jouw foto.	robot			0			statement	5.253235340118410
13	13	63.5	66.5	 Daar maken we een leuk spel van.	robot			0			statement	4.996688365936280
14	14	66.5	71.5	 Wij gaan elke ronde samen uitzoeken wie waar staat.	robot			0			statement	4.68618631362915
15	15	72.5	74.5	 Is dat oké?	robot			0			yes_no_question	3.4582459926605200
16	16	74.5	76.5	 Dat is oké.	human			0			statement	1.9463313817977900
17	17	76.5	78.5	 Het werkt als volgt.	robot			0			comment	1.3245571851730300
18	18	79.0	82.0	 We gaan de vrienden een voor een langs.	robot			0			statement	3.7233316898345900
