	Unnamed: 0	start	end	text	speaker	mention	character	round	transaction_unit	tu_relation	da	da_conf
0	0	0.0	4.38	" Hoi, mijn naam is Robin. Hoe heet jij?"	robot			0			statement	3.334437131881710
1	1	4.38	6.74	" Hoi Robin, ik heb Jessica."	human			0			statement	3.515815019607540
2	2	6.74	11.32	" Oké, leuk dat je meedoet met dit spelletje."	robot			0			statement	2.0659685134887700
3	3	11.32	14.68	 Het gaat over mijn drie vrienden.	robot			0			statement	5.2363362312316900
4	4	14.68	17.78	 Ik zal ze aan je voorstellen.	robot			0			statement	4.214899063110350
5	5	17.78	23.86	" Zie je daar de tablet, op die stand daar naast mij?"	robot			0			statement	2.6480042934417700
6	6	23.86	25.06	 Ja.	human			0			pos_answer	4.317912578582760
7	7	26.06	30.56	" Als je op de knop op het scherm drukt, dan zie je mijn vrienden."	robot			0			statement	4.956076145172120
8	8	30.56	31.66	 Oké.	human			0			statement	2.9824373722076400
9	9	31.66	34.8	 Kijk goed naar mijn gezichten.	robot			0			statement	2.4215152263641400
10	10	34.8	38.4	 Die moet je een beetje onthouden.	robot			0			opinion	4.383497714996340
11	11	38.4	40.0	 Oké.	human			0			back-channeling	4.004770755767820
12	12	40.0	45.08	 Deze vrienden gaan overal naartoe en maken dan een foto.	robot			0			statement	4.808143138885500
13	13	45.08	49.22	 Soms staan ze ook op de foto met anderen.	robot			0			statement	3.4819610118866000
14	14	49.22	53.26	 Wij krijgen allebei deze foto's te zien.	robot			0			statement	3.834238290786740
15	15	53.26	60.26	 Maar op mijn foto staan mijn vrienden op een andere volgorde dan op jouw foto.	robot			0			statement	5.253235340118410
16	16	60.26	63.0	 Daar maken we een leuk spel van.	robot			0			statement	4.996688365936280
17	17	63.0	63.66	 Oké.	human			0			back-channeling	4.227453708648680
18	18	63.66	69.04	 Wij gaan elke ronde samen uitzoeken wie waar staat.	robot			0			statement	4.556324481964110
19	19	69.04	69.54	 Oké.	human			0			pos_answer	3.896049737930300
20	20	69.54	70.6	 Is dat oké?	robot			0			pos_answer	2.201310396194460
21	21	70.6	72.04	 Oké.	human			0			pos_answer	5.276571273803710
22	22	72.04	74.78	 Het werkt als volgt.	robot			0			back-channeling	1.7959222793579100
23	23	74.78	78.52	 We gaan door vrienden een voor een langs.	robot			0			statement	4.7611918449401900
24	24	78.52	85.86	 Jij vertelt wie je op welke plek ziet en het vertelt dan op welke plek die staat in mijn plaatje.	robot			0			statement	5.099942684173580
25	25	85.86	93.32	" Als we goed overleggen, vinden we samen de juiste antwoord en is ons score hoger."	robot			0			statement	4.8683247566223100
26	26	93.32	94.3	 Leuk toch?	robot			0			comment	0.9882428646087650
27	27	94.3	95.66	 Ja.	human			0			pos_answer	5.313272953033450
28	28	95.66	98.26	 Laten we dus even oefenen.	robot			0			command	2.222787618637090
