	Unnamed: 0	start	end	text	speaker	mention	character	round	transaction_unit	tu_relation	da	da_conf
0	0	0.0	2.0	" Hoi, mijn naam is Robin."	robot			0			statement	2.666691541671750
1	1	3.0	4.0	 Hoe heet jij?	robot			0			open_question_factual	3.68927001953125
2	2	5.0	6.0	 Damien.	human			0			statement	3.140871286392210
3	3	7.0	10.0	" Oké, leuk dat je meedoet met dit spelletje."	robot			0			comment	1.0880545377731300
4	4	11.0	13.0	 Het gaat over mijn drie vrienden.	robot			0			statement	5.2363362312316900
5	5	14.0	16.0	 Ik zal ze aan je voorstellen.	robot			0			statement	4.214899063110350
6	6	19.0	22.0	 Zie je daar de tablet op die standaard naast mij?	robot			0			statement	3.1479332447052
7	7	24.0	25.0	 Ja.	human			0			pos_answer	4.351829528808590
8	8	25.0	29.0	" Als je op de knop op het scherm drukt, dan zie je mijn vrienden."	robot			0			statement	4.956076145172120
9	9	30.0	31.0	" Ja, zie ik."	human			0			statement	4.170446872711180
10	10	31.0	33.0	 Kijk goed naar hun gezichten.	robot			0			statement	2.0146079063415500
11	11	34.0	36.0	 Je moet ze een beetje onthouden.	robot			0			statement	2.3503527641296400
12	12	38.0	42.0	 Deze vrienden gaan al gauw naartoe en maken dan een foto.	robot			0			statement	4.252547740936280
13	13	43.0	46.0	 Soms staan ze ook op de foto met anderen.	robot			0			statement	3.8094778060913100
14	14	47.0	50.0	 Wij krijgen allebei deze foto's te zien.	robot			0			statement	3.834238290786740
15	15	51.0	57.0	" Maar, op mijn foto staan mijn vrienden op een andere volgorde dan op jouw foto."	robot			0			statement	5.120061874389650
16	16	58.0	60.0	 Daar maken we een leuk spel van.	robot			0			statement	4.0685296058654800
17	17	61.0	65.0	 Wij gaan elke ronde samen uitspreken wie waar staat.	robot			0			statement	5.34365701675415
18	18	67.0	68.0	 Is dat oké?	robot			0			yes_no_question	3.669790506362920
19	19	68.0	69.0	 Ja hoor.	human			0			pos_answer	3.582566976547240
20	20	69.0	71.0	 Het werkt als volgt.	robot			0			statement	1.0325207710266100
21	21	72.0	75.0	 We gaan door vrienden een voor een langs.	robot			0			statement	4.7611918449401900
22	22	76.0	82.0	 Jij vertelt wie je op welke plek ziet en het vertelt dan op welke plek die staat in je blaadje.	robot			0			statement	5.440003871917730
23	23	83.0	89.0	" Als we goed overleggen, vinden we samen de juiste antwoorden en is onze score hoger."	robot			0			statement	4.4489569664001500
24	24	90.0	91.0	 Leuk toch?	robot			0			comment	1.0802743434906000
25	25	91.0	92.0	 Ja.	human			0			pos_answer	5.313272953033450
26	26	93.0	95.0	 Laten we dit even oefenen.	robot			0			command	3.5035977363586400
27	27	96.0	100.0	 Druk maar op de knop om door te gaan naar de oefenronde.	robot			0			statement	1.4271230697631800
28	28	103.0	110.0	" Beschrijf nu maar aan mij wie er bij jou op de eerste plek staat, zodat ik begrijp wie je bedoelt."	robot			0	1.0		statement	1.991439700126650
29	29	112.0	115.0	De eerste plek met het cijfer 1 erboven.	robot			0	1.0	continue	statement	3.8884692192077600
30	30	115.0	116.0	 Een blonde vrouw.	human	 Een blonde vrouw.	7.0	0	1.0	answer-description	statement	3.9678971767425500
31	31	116.0	122.0	 Je kunt bijvoorbeeld aan mij vertellen hoe je gezicht eruit ziet of iets anders dat opvalt.	human			0	1.0	continue	statement	4.156147003173830
32	32	123.0	126.0	 Een blonde vrouw met blauwe ogen en een grote lach.	human	 Een blonde vrouw met blauwe ogen en een grote lach.	7.0	0	1.0	answer-description	statement	5.725159645080570
33	33	127.0	130.0	" O ja, die staat bij mij op de tweede plek."	robot			0	1.0	ack-located	statement	3.4047772884368900
34	34	131.0	134.0	Je kan nu op het cijfer 1 tikken.	robot			0			statement	3.468979835510250
35	35	135.0	137.0	 Er opent dan een menuutje.	robot			0			statement	3.5450565814971900
36	36	138.0	145.0	Daarin kan je het cijfer 2 invullen om aan te geven dat hij op de tweede plek staat bij mij.	robot			0			statement	3.761160135269170
37	37	146.0	152.0	" Als je dat gedaan hebt, verschijnt er een vinkje om aan te geven dat je het hebt ingevuld."	robot			0			statement	3.8605570793151900
38	38	153.0	154.0	 Klopt dat?	robot			0			back-channeling	1.9139047861099200
39	39	154.0	155.0	 Nee.	human			0			neg_answer	3.8632686138153100
40	40	163.0	166.0	"Ja, ik druk de 2 in, maar hij doet 1."	human			0			statement	5.023560047149660
41	41	167.0	170.0	" Ja, de plek blijft hetzelfde."	human			0			statement	3.4691364765167200
42	42	170.0	172.0	" Oké, dus het klopt zo."	human			0			pos_answer	1.4714308977127100
43	43	172.0	176.0	" Ja, dus als je dit vinkje geeft aan dat je hem nu hebt ingevuld."	human			0			pos_answer	2.3420464992523200
44	44	176.0	179.0	"Van nummer 1 heb je het ingevuld, van nummer 2 heb je het ingevuld."	human			0			statement	5.368101596832280
45	45	179.0	181.0	Maar die moet wel op nummer 2 staan eigenlijk.	human			0			statement	4.719489574432370
46	46	182.0	184.0	" Ja, maar dat zit er wel achter."	human			0			statement	2.244471311569210
47	47	185.0	186.0	 Is die ingezoomd?	human			0			statement	3.0917961597442600
48	48	187.0	190.0	" Ja, je kan het inzoomen, maar er zit nog een knop achter."	human			0			statement	3.500821828842160
49	49	193.0	194.0	" Ja, maar zo klopt het dus."	human			0			statement	2.5642945766449000
50	50	195.0	198.0	 Wat erachter staat is gewoon wat je hebt ingevuld.	human			0			statement	1.9140318632125900
51	51	198.0	200.0	 Maar het cijfer blijft hetzelfde.	human			0			statement	2.557465076446530
52	52	200.0	202.0	" Dan kunnen we door, de robot gaat zo weer door."	human			0			statement	4.206358909606930
53	53	202.0	204.0	 Moet ik doorgaan of wachten op hem eerst?	human			0			statement	2.171642780303960
54	54	204.0	205.0	" Nee, wacht maar even."	human			0			statement	3.210491418838500
55	55	224.0	227.0	" Oké, dus ik ben nog even een paar spelregels."	robot			0			statement	3.538254976272580
56	56	227.0	230.0	 Je krijgt het blaadje maar een paar seconden te zien.	robot			0			statement	5.173437118530270
57	57	231.0	235.0	 Omtrouwt dus goed wie waar staat en hoe die persoon eruit ziet.	robot			0			statement	3.5251524448394800
58	58	236.0	243.0	 Daarna kun je vertellen wat je zag en gaan wij overleggen wie waar staat op jouw blaadje en op de lijnen.	robot			0			statement	4.260900974273680
59	59	244.0	245.0	 Is dat goed?	robot			0			yes_no_question	2.6531922817230200
60	60	245.0	246.0	 Ja.	human			0			pos_answer	5.560951232910160
61	61	247.0	248.0	 Top.	robot			0			abandon	4.1940155029296900
62	62	248.0	253.0	" Als je bent vergeten wie je zag, kan je op het scherm tikken op de knop."	robot			0			statement	1.523590326309200
63	63	253.0	255.0	 Laat het blaadje zien.	robot			0			statement	4.10198450088501
64	64	256.0	259.0	 Maar je moet ook goed naar mij kijken.	robot			0			opinion	2.5645525455474900
