	Unnamed: 0	start	end	text	speaker	mention	character	round	transaction_unit	tu_relation	da	da_conf
0	0	0.0	5.0	" Hoi, mijn naam is Robin. Hoe heet jij?"	robot			0			statement	3.334437131881710
1	1	5.0	7.0	 Kim.	human			0			statement	3.420140504837040
2	2	7.0	11.0	" Oké, leuk dat je meedoet met dit spelletje."	robot			0			statement	0.769734263420105
3	3	11.0	15.0	 Het gaat over mijn drie vrienden.	robot			0			statement	5.2363362312316900
4	4	15.0	19.0	 Ik zal ze aan je voorstellen.	robot			0			statement	4.214899063110350
5	5	19.0	25.0	" Zie je daar de tablet, op die stand daar naast mij?"	robot			0			statement	2.6480042934417700
6	6	25.0	30.0	" Als je op de knop op het scherm drukt, dan zie je mijn vrienden."	robot			0			statement	4.5384840965271
7	7	30.0	34.0	 Kijk goed naar hun gezichten.	robot			0			statement	3.9267916679382300
8	8	34.0	37.0	 Die moet je een beetje onthouden.	robot			0			opinion	3.0842502117157000
9	9	37.0	42.0	 Deze vrienden gaan over het paal naartoe en maken dan een foto.	robot			0			statement	3.5679829120636000
10	10	42.0	47.0	 Soms staan ze ook op de foto met andere vrienden.	robot			0			statement	3.8801095485687300
11	11	47.0	51.0	 Wij krijgen allebei deze foto's te zien.	robot			0			statement	3.8256185054779100
12	12	51.0	55.0	 Maar ik heb een andere foto dan jij.	robot			0			statement	3.992851972579960
13	13	55.0	58.0	 Daar maken we een leuk spelletje van.	robot			0			statement	4.2533745765686000
14	14	58.0	62.0	 Zoek de verschillen.	robot			0			statement	2.460261106491090
15	15	62.0	68.0	 Op mijn foto kunnen deze vrienden op andere plekken staan dan op jouw foto.	robot			0			statement	5.741087436676030
16	16	68.0	73.0	 Wij gaan elke ronde samen uitzoeken waar je staat.	robot			0			statement	5.415740489959720
17	17	73.0	77.0	 Is dat oké?	robot			0			yes_no_question	3.238987922668460
18	18	77.0	80.0	 Het werkt als volgt.	robot			0			statement	1.469449758529660
19	19	80.0	88.0	" Als je denkt dat een vriend die je ziet op een andere plek staat dan bij mij, kun je op het hoofd van die vriend drukken."	robot			0			opinion	3.110227584838870
20	20	88.0	91.0	 Dat doe je op de tablet.	robot			0			statement	5.016317844390870
21	21	91.0	94.0	 Je ziet dan een mummetje.	robot			0			statement	3.1765635013580300
22	22	94.0	102.0	" Daar kun je aanklikken of die vriend op dezelfde plek staat, of dat die vriend juist op een andere plek staat."	robot			0			statement	3.743319272995000
23	23	102.0	107.0	 Zullen we dat even proberen?	robot			0			command	3.605292558670040
24	24	107.0	111.0	 Druk bij een van mijn drie vrienden op het hoofd.	robot			0			statement	2.236947536468510
