	Unnamed: 0	start	end	text	speaker	mention	character	round	transaction_unit	tu_relation	da	da_conf
0	0	0.0	5.0	" Hoi, mijn naam is Robin. Hoe heet jij?"	robot			0			statement	2.224924325942990
1	1	6.0	8.0	 Mijn naam is Jelle.	human			0			statement	4.752423286437990
2	2	12.0	16.0	" Oké, leuk dat jullie meedoen met dit spelletje."	robot			0			statement	1.521374225616460
3	3	17.0	22.0	 Het gaat over mijn drie vrienden. Ik zal ze aan je voorstellen.	robot			0			statement	4.258363246917730
4	4	24.0	28.0	" Zie je daar de tablet, op die stal daar naast mij?"	robot			0			statement	2.9748494625091600
5	5	30.0	31.0	 Ja.	human			0			pos_answer	4.321311950683590
6	6	34.0	38.0	" Als je op de knop op het scherm drukt, dan zie je mijn vrienden."	robot			0			statement	4.956076145172120
7	7	39.0	44.0	 Kijk goed naar hun gezichten. Die moet je een beetje onthouden.	robot			0			statement	2.959731101989750
8	8	47.0	51.0	 Deze vrienden gaan overal naartoe en maken dan een foto.	robot			0			statement	3.462880849838260
9	9	52.0	56.0	 Soms staan ze ook op de foto met andere vrienden.	robot			0			statement	3.7170183658599900
10	10	57.0	64.0	" Wij krijgen allebei deze foto's te zien, maar ik heb een andere foto dan jij."	robot			0			statement	5.0098066329956100
11	11	65.0	70.0	 Daar maken we een leuk spel van. Zoek de verschillen.	robot			0			statement	4.571933269500730
12	12	72.0	77.0	 Op mijn foto kunnen deze vrienden op andere plekken staan dan op jouw foto.	robot			0			statement	5.24901819229126
13	13	78.0	82.0	 Wij gaan elke ronde samen uitzoeken wie waar staat.	robot			0			statement	5.317052841186520
14	14	83.0	85.0	 Is dat oké?	robot			0			yes_no_question	3.4582459926605200
15	15	86.0	88.0	" Ja, dat is oké."	human			0			pos_answer	3.966641664505010
16	16	90.0	92.0	 Het werkt als volgt.	robot			0			statement	1.2834696769714400
17	17	93.0	100.0	" Als je denkt dat een vriend je ziet op een andere plek staan dan bij mij, kun je op het hoofd van die vriend drukken."	robot			0			statement	2.8497869968414300
18	18	101.0	105.0	 Dat doe je op de tablet. Je ziet dan een menu.	robot			0			statement	2.716904878616330
19	19	106.0	114.0	 Daar kun je uitleggen of die vriend op dezelfde plek staat of dat die vriend juist op een andere plek staat.	robot			0			statement	2.667694330215450
20	20	115.0	117.0	 Zullen we het even proberen?	robot			0			command	3.746269702911380
21	21	118.0	119.0	 Ja.	human			0			pos_answer	5.604691505432130
22	22	120.0	123.0	 Druk daar een van mijn drie vrienden op het hoofd.	robot			0			statement	2.529383897781370
23	23	124.0	129.0	 Zie je dat je nu kunt kiezen tussen dezelfde plek of andere plek?	robot			0			opinion	2.140550136566160
24	24	130.0	131.0	 Ja.	human			0			pos_answer	4.732571125030520
25	25	131.0	138.0	 Mooi. Kies eens iets. Maak nu even niet uit wat.	robot			0			comment	2.655209541320800
26	26	139.0	149.0	" Als het goed is, zie je nu als je een keuze hebt gemaakt dat het hoofd van die vriend aan de zijkant rechts op het scherm komt te staan."	robot			0			opinion	3.0667853355407700
27	27	150.0	151.0	 Klopt dat?	robot			0			back-channeling	1.8101794719696000
28	28	152.0	153.0	" Ja, dat klopt."	human			0			pos_answer	2.749783754348760
29	29	154.0	164.0	" Top. Als we goed overleggen, vinden we samen de juiste antwoorden en is onze score hoger."	robot			0			statement	0.8851070404052730
30	30	165.0	166.0	 Leuk toch?	robot			0			comment	2.061478614807130
31	31	167.0	168.0	" Ja, zeker."	human			0			pos_answer	4.584760665893560
32	32	169.0	175.0	 Goed. Nog even een paar spelregels. Je krijgt dit blaadje maar een paar seconden te zien.	robot			0			comment	1.6164942979812600
33	33	176.0	180.0	 Onthoud dus goed wie waar staat en hoe die persoon er uitziet.	robot			0			opinion	3.1295151710510300
34	34	181.0	188.0	 Daarna kun je vertellen wat je zag en gaan wij bespreken wie waar staat op jouw blaadje en op de mijne.	robot			0			statement	3.887260675430300
35	35	189.0	191.0	 Is dat goed?	robot			0			yes_no_question	2.939143419265750
36	36	192.0	193.0	" Ja, dat is goed."	human			0			pos_answer	2.96051287651062
37	37	194.0	200.0	" Top. Hoe beter wij elkaar begrijpen, hoe hoger onze score."	robot			0			appreciation	0.7183792591094970
38	38	200.0	206.0	" Als je bent vergeten wie je zag, kan je op het scherm tikken op de knop waar het blaadje zit."	robot			0			statement	3.1554415225982700
39	39	207.0	210.0	" Maar, je moet ook goed naar mij kijken."	robot			0			statement	2.7722909450531000
40	40	211.0	215.0	 Mijn ogen krijgen namelijk een paarse kleur als ik praat.	robot			0			statement	5.078507423400880
41	41	216.0	219.0	" Als ik luister, dat zijn mijn ogen groen."	robot			0			statement	5.13891077041626
42	42	220.0	223.0	 Zo kunnen we nog makkelijker met elkaar praten.	robot			0			statement	3.1530702114105200
43	43	224.0	228.0	 Daarom moet je proberen het blaadje zo min mogelijk te bekijken.	robot			0			statement	3.0745108127594000
44	44	229.0	232.0	 Alleen als je echt bent vergeten wat je zag.	robot			0			statement	4.1365580558776900
45	45	233.0	237.0	 Zullen we nog even oefenen met een makkelijk voorbeeldje?	robot			0			command	4.581789493560790
46	46	238.0	239.0	 Ja.	human			0			pos_answer	5.754444122314450
47	47	240.0	245.0	" Oké. Klik op de knop, ga door op de tablet."	robot			0			statement	1.4702024459838900
48	48	246.0	249.0	 Dan gaan we even oefenen zonder mijn vrienden.	robot			0			statement	2.632293701171880
49	49	250.0	255.0	 In het spelletje kun je naar beneden scrollen om het blaadje beter te zien.	robot			0			statement	3.372685194015500
50	50	256.0	257.0	 Leuk hoor.	robot			0			appreciation	3.607614278793340
51	51	259.0	261.0	 Wat zie je nu?	robot			0			open_question_factual	2.548534870147710
52	52	263.0	267.0	" Een paarse randje, een poppetje zwart haar."	human	"Een paarse randje,; een poppetje zwart haar."	14;13	0	1		statement	6.257791042327880
53	53	270.0	276.0	" Een driehoekje groen, een poppetje blond haar en een vierkant."	human	"Een driehoekje groen,;een poppetje blond haar;een vierkant."	15;10;16	0	1	continue-description	statement	4.901189804077150
54	54	280.0	284.0	 Wie staat waar?	robot			0			open_question_factual	4.056468486785890
55	55	289.0	294.0	 Jouw vriend staat tussen het rondje en de driehoek.	human	Jouw vriend;het rondje;de driehoek.	13;14;15	0	1	answer-description	statement	5.335677623748780
56	56	299.0	302.0	" Sorry, kun je dat herhalen?"	robot			0	1	req-repeat	yes_no_question	1.4795024394989000
57	57	303.0	308.0	 Tussen de paarse cirkel en de groene driehoek.	human	de paarse cirkel;de groene driehoek.	14;15	0	1	clar-repeat	statement	3.3349316120147700
58	58	310.0	311.0	 Oké.	human			0	1	ack	back-channeling	4.87167501449585
59	59	316.0	318.0	 En hoe ziet u eruit?	robot			0	1	req-clar	open_question_factual	1.3443078994751000
60	60	321.0	323.0	 Het poppetje heeft zwart haar.	human	 Het poppetje heeft zwart haar.	13	0	1	clar-repair	statement	4.276402950286870
61	61	325.0	326.0	 Oh ja.	robot			0			back-channeling	4.5948004722595200
62	62	327.0	328.0	 Oh ja.	robot			0			back-channeling	4.815562725067140
63	63	329.0	332.0	" Oh, dan staat die op een andere plek."	robot			0			statement	1.3318126201629600
